priority,page_group,page_or_project,route,source_file,copy_section,copy_type,current_draft,what_i_need_from_you,example_answer,your_answer,codex_rewrite_notes
P1,Strategy,Whole site,All routes,All copy files,Audience and goal,Creative direction input,,"Who should this site persuade first, and what should they hire you for?","Creative directors and small business owners should see that I can build full visual systems: identity, packaging, print, signage, and web.",,Use rough notes. I will turn the answer into polished site copy and keep the tone consistent.
P1,Strategy,Whole site,All routes,All copy files,Brand voice,Creative direction input,,"What should the writing feel like: direct, warm, refined, experimental, local, premium, quiet, bold?","Clear, confident, editorial, and warm. I do not want it to sound overly corporate or too trendy.",,Use rough notes. I will turn the answer into polished site copy and keep the tone consistent.
P1,Strategy,Whole site,All routes,All copy files,Best proof points,Creative direction input,,What are the strongest facts about your experience that should show up across the site?,"10 years of experience, clients like Longs Drugs/CVS and University of Hawaii, and the ability to take work from concept to production.",,Use rough notes. I will turn the answer into polished site copy and keep the tone consistent.
P1,Strategy,Whole site,All routes,All copy files,Words or tone to avoid,Creative direction input,,"List any words, phrases, or styles you do not want on the site.","Avoid guru, visionary, disruptive, ninja, overly poetic language, and anything that sounds like an agency buzzword.",,Use rough notes. I will turn the answer into polished site copy and keep the tone consistent.
P1,Strategy,Whole site,All routes,All copy files,Geography and transition,Creative direction input,,How direct should the Hawaii to Seattle move be in the copy?,"Mention it as context and point of view, but do not make the whole brand about moving.",,Use rough notes. I will turn the answer into polished site copy and keep the tone consistent.
P1,Global page copy,Homepage,/,src/pages/index.astro,Hero eyebrow,Visible microcopy,Graphic design / brand systems / digital,Should this positioning line stay broad or name your strongest specialties?,"Graphic designer for identity, packaging, print, signage, and digital systems.",,
P1,Global page copy,Homepage,/,src/pages/index.astro,Hero headline,Visible headline,Visual systems for brands that need to live in the real world.,What is the strongest one-sentence promise your portfolio should make?,"I help brands become clearer, more memorable, and easier to use across physical and digital touchpoints.",,
P1,Global page copy,Homepage,/,src/pages/index.astro,Hero intro paragraph,Visible body copy,"I am Christopher Abarca, a graphic designer moving from Hawaii to Seattle. I create identity, brand, print, environmental, and digital work with a focus on clear systems and memorable visual presence.","Give me the factual version of who you are, what you make, and what kind of opportunities you want.","I am a graphic designer with 10 years of experience across identity, packaging, posters, commercial signage, websites, and applications. I am open to freelance, full-time, and contract work.",,
P2,Global page copy,Homepage,/,src/pages/index.astro,Practice headline,Visible headline,Design that carries from first impression to final touchpoint.,What should visitors understand about how your work extends across formats?,"I build identity systems that keep working after the logo: on packaging, posters, signage, websites, and product interfaces.",,
P2,Global page copy,Homepage,/,src/pages/index.astro,Practice paragraph,Visible body copy,"A mark is only the start. I build the language around it, from type and color to physical touchpoints and digital experiences, so a brand can feel consistent wherever people meet it.",What do you usually build beyond the logo or first visual idea?,"For most projects I think through type, layout, color, image style, production rules, and how the work changes when it moves from print to screen.",,
P2,Global page copy,Homepage,/,src/pages/index.astro,Approach headline,Visible headline,Useful systems with enough visual energy to be remembered.,How should your approach sound in one strong line?,"Clear systems, strong visuals, and practical design that can survive real-world use.",,
P2,Global page copy,Homepage,/,src/pages/index.astro,Featured work headline,Visible headline,"Selected work across identity, campaigns, environments, and digital products.",How should we describe the selected work on the homepage?,"A focused selection of identity, packaging, print, signage, web, and self-directed case studies.",,
P2,Global page copy,Homepage,/,src/pages/index.astro,Work archive CTA headline,Visible headline,"Browse brand systems, printed pieces, spatial graphics, and digital experiences.",How should we invite people into the full project archive?,"Explore the full archive across client work, self-initiated studies, and visual systems in progress.",,
P1,Global page copy,Work archive,/work/,src/pages/work/index.astro,Page SEO description,Metadata,"A filterable archive of graphic design, identity, editorial, and campaign projects.",What should search/social previews say about the work archive?,"A portfolio archive of identity, packaging, print, signage, website, application, and editorial case studies by Christopher Abarca.",,
P2,Global page copy,Work archive,/work/,src/pages/work/index.astro,Page eyebrow,Visible microcopy,Work archive,"Should this section feel like a portfolio, archive, index, or studio catalog?",Selected work,,
P1,Global page copy,Work archive,/work/,src/pages/work/index.astro,Page headline,Visible headline,Browse the projects like an editorial index.,What should this page promise the visitor?,"A working archive of brand systems, printed pieces, packaging, websites, and self-directed studies.",,
P2,Global page copy,Work archive,/work/,src/pages/work/index.astro,Intro paragraph,Visible body copy,"Filter by discipline, scan by year, or move into a full case study when a project needs a deeper read.",How do you want people to use the archive?,"Scan by discipline or year, then open a project when you want to see the thinking, system, and visual details behind it.",,
P3,Global page copy,Work archive,/work/,src/components/ArchiveView.astro,Empty search message,Interface copy,No projects match those filters.,Any preference for the empty search state?,No matching projects yet. Try another discipline or year.,,
P1,Global page copy,About page,/about/,src/pages/about.astro,Hero headline,Visible headline,"Graphic designer building brand systems across identity, print, environments, and digital products.",How should the About page introduce you at your strongest?,"Graphic designer with 10 years of experience building identity, packaging, print, signage, web, and application systems.",,
